Arbitrage,DateTime,Estimated Arb,Actual Arb,BTC -> ALT Initial Rate,BTC -> ALT Adjustment Rate,BTC -> ALT Estimate Rate,BTC -> ALT Actual Rate,BTC -> ALT Rate Diff,BTC -> ALT % Rate Diff,Time From Quote,BTC -> ALT Vol,ALT -> ETH Initiial,ALT -> ETH Adjustment,ALT -> ETH Estimate,ALT -> ETH Actual,ALT -> ETH Diff,ALT -> ETH % Diff,Time From Quote,ALT -> ETH Vol,ETH -> BTC Initiial,ETH -> BTC Adjustment,ETH -> BTC Estimate,ETH -> BTC Actual,ETH -> BTC Diff,ETH -> BTC % Diff,Time From Quote,ETH -> BTC Vol
BTC-LUN > ETH-LUN > BTC_ETH,08:06.6,,,0.00271996,1.00E-06,0.00272096,0.00271995,1.00E-08,0.000367652,0.904121161,87838.27492,0.0390906,-2.00E-08,0.03909058,0.03802497,0.00106563,2.726051787,2.153028488,7306.75657,0.07054978,-2.00E-08,0.07054976,0.07054978,0,0,3.156550407,41297.42425
BTC-NEO > ETH-NEO > BTC_ETH,47:28.1,,,0.00528849,1.00E-06,0.00528949,0.00528849,0,0,2.017139435,866964.6624,0.0759695,-2.00E-08,0.07596948,0.07536924,0.00060026,0.790132882,3.75639987,79288.89193,0.07037609,-2.00E-08,0.07037607,0.07037609,0,0,4.677563906,42917.54774
BTC-NMR > ETH-NMR > BTC_ETH,56:29.4,,,0.00479998,1.00E-06,0.00480098,0.00481619,-1.62E-05,-0.33770974,3.546600342,22802.76823,0.0688888,-2.00E-08,0.06888878,0.0688888,0,0,4.622824192,1062.841655,0.07034978,-2.00E-08,0.07034976,0.07029,5.98E-05,0.08497539,5.699435472,43295.01034
BTC-LTC > ETH-LTC > BTC_ETH,05:38.8,,,0.01615001,1.00E-05,0.01616001,0.01615001,0,0,1.530835867,89056.14027,0.231,-5.00E-06,0.230995,0.23038564,0.00061436,0.26595671,2.556711674,5692.786246,0.07049873,-5.00E-06,0.07049373,0.0703001,0.00019863,0.281749756,3.888111115,43474.77216
BTC-NMR > ETH-NMR > BTC_ETH,26:16.0,,,0.00480338,1.00E-05,0.00481338,0.00480338,0,0,0.914851904,22392.68161,0.0688888,-1.00E-05,0.0688788,0.06643958,0.00244922,3.555323942,2.514250278,1014.39554,0.07047944,-1.00E-05,0.07046944,0.07047944,0,0,3.444213152,43370.21261
BTC-WAVES > ETH-WAVES > BTC_ETH,33:18.1,,,0.00100519,1.00E-05,0.00101519,0.00100519,0,0,1.092712641,314787.1044,0.0145538,-1.00E-05,0.0145438,0.01430611,0.00024769,1.701892289,2.830805302,15887.20034,0.07047836,-1.00E-05,0.07046836,0.07031,0.00016836,0.238881836,4.061750412,43443.85432
BTC-NEO > ETH-NEO > BTC_ETH,49:40.0,,,0.0052901,1.00E-05,0.0053001,0.00530002,-9.92E-06,-0.187520085,0.881759644,862885.0179,0.07596938,-2.00E-05,0.07594938,0.0757,0.00026938,0.354590231,2.218186617,76292.50651,0.07035011,-2.00E-05,0.07033011,0.07035011,0,0,3.18362999,43741.83283
BTC-OMG > ETH-OMG > BTC_ETH,34:52.0,,,0.002695,1.00E-05,0.002705,0.002695,0,0,1.197393656,1039678.752,0.0385763,-2.00E-05,0.0385563,0.03827525,0.00030105,0.780401438,2.12081027,156623.7688,0.07072,-2.00E-05,0.0707,0.07072,0,0,3.139478445,42030.20646
BTC-DGD > ETH-DGD > BTC_ETH,43:09.0,,,0.01950001,1.00E-05,0.01951001,0.01963247,-0.00013246,-0.679281703,1.270201206,3473.620978,0.28092284,-2.00E-05,0.28090284,0.27000003,0.01092281,3.888188657,2.733948231,955.2324827,0.07069827,-2.00E-05,0.07067827,0.07069827,0,0,4.545403242,42118.218
BTC-NMR > ETH-NMR > BTC_ETH,13:51.0,,,0.00440188,2.00E-05,0.00442188,0.00446795,-6.61E-05,-1.500949594,1.109789848,15579.62657,0.0625,-9.00E-06,0.062491,0.0611,0.0014,2.24,1.903353453,1890.318032,0.0715,-8.00E-06,0.071492,0.07146424,3.58E-05,0.050013986,2.660891056,51906.48491
BTC-LUN > ETH-LUN > BTC_ETH,07:00.6,,,0.003052,2.00E-05,0.003072,0.00312999,-7.80E-05,-2.555373526,1.103736401,151110.5031,0.04366764,-9.00E-06,0.04365864,0.04366764,0,0,2.538995266,13544.96221,0.07170592,-1.00E-05,0.07169592,0.07170592,0,0,3.972118855,50713.21936
BTC-SNGLS > ETH-SNGLS > BTC_ETH,21:17.3,,,3.72E-05,2.00E-07,3.74E-05,3.72E-05,0,0,1.026836872,2060609.758,0.00052579,-1.00E-07,0.00052569,0.00052,5.79E-06,1.101200099,1.946668625,674626.2725,0.07184,-1.00E-07,0.0718399,0.07183,1.00E-05,0.013919822,2.82916975,50665.26339
BTC-MCO > ETH-MCO > BTC_ETH,28:18.7,,,0.002075,2.00E-07,0.0020752,0.002075,0,0,1.513142586,234175.0291,0.029,-1.00E-07,0.0289999,0.029,0,0,3.152206182,30814.46631,0.0721241,-1.00E-07,0.072124,0.07191,0.0002141,0.296849458,4.677929163,51728.82977
BTC-1ST > ETH-1ST > BTC_ETH,34:08.5,,,0.00011,2.00E-07,0.0001102,0.00011,0,0,0.983852386,4719779.595,0.00156078,-1.00E-07,0.00156068,0.00151385,4.69E-05,3.006829918,2.563504696,256129.1112,0.072,-1.00E-07,0.0719999,0.072,0,0,3.88059926,51647.21795
BTC-1ST > ETH-1ST > BTC_ETH,34:25.1,,,0.00010604,2.00E-07,0.00010624,0.00010838,-2.34E-06,-2.206714447,0.965328217,4743259.429,0.00151395,-1.00E-07,0.00151385,0.00151398,-3.00E-08,-0.001981571,1.903091669,257219.2845,0.072,-1.00E-07,0.0719999,0.072,0,0,3.478328705,51647.34146
BTC-STRAT > ETH-STRAT > BTC_ETH,35:16.6,,,0.001311,2.00E-07,0.0013112,0.00131438,-3.38E-06,-0.257818459,1.112482786,649816.8153,0.01835601,-1.00E-07,0.01835591,0.01835601,0,0,2.346200466,40576.03878,0.07200001,-1.00E-07,0.07199991,0.07200001,0,0,3.467611313,51656.47875
BTC-LUN > ETH-LUN > BTC_ETH,10:37.1,,,0.00318316,2.00E-07,0.00318336,0.00318316,0,0,1.197188377,166592.3093,0.04508904,-1.00E-07,0.04508894,0.04428389,0.00080515,1.785688939,4.325799942,14357.14165,0.07169999,-1.00E-07,0.07169989,0.07169999,0,0,6.063714266,51575.2802
BTC-QTUM > ETH-QTUM > BTC_ETH,27:25.4,,,0.00326,2.00E-07,0.0032602,0.00328735,-2.74E-05,-0.838957055,1.06116581,1780762.581,0.04650007,-1.00E-07,0.04649997,0.04650007,0,0,1.930635214,157460.923,0.07130709,-1.00E-07,0.07130699,0.07126,4.71E-05,0.066038314,3.31496191,51282.21612
BTC-ANT > ETH-ANT > BTC_ETH,20:04.1,,,0.00029301,2.00E-07,0.00029321,0.00030899,-1.60E-05,-5.45373878,0.745972633,164259.0963,0.005,-1.00E-07,0.0049999,0.005,0,0,1.751532316,101283.0632,0.05945001,-1.00E-07,0.05944991,0.05945001,0,0,2.814445496,70791.07732
BTC-ANT > ETH-ANT > BTC_ETH,36:10.5,,,0.00029228,7.00E-07,0.00029298,0.00029967,-7.39E-06,-2.528397427,0.672931433,168689.819,0.00500058,-2.00E-07,0.00500038,0.00500001,5.70E-07,0.011398678,1.627159595,109184.84,0.05945,-2.00E-07,0.0594498,0.05945,0,0,2.375367165,70708.19514
BTC-BCC > ETH-BCC > BTC_ETH,25:56.7,,,0.155625,7.00E-07,0.1556257,0.155625,0,0,0.656394958,14657.14373,2.07191881,-2.00E-07,2.07191861,2.07191881,0,0,1.359664679,1965.074525,0.07505001,-1.00E-06,0.07504901,0.07505001,0,0,2.04720664,20044.92042
BTC-NEO > ETH-NEO > BTC_ETH,33:53.9,,,0.00887,7.00E-07,0.0088707,0.00887,0,0,1.500024319,48514.65667,0.11861442,-2.00E-07,0.11861422,0.11861442,0,0,2.620005608,6106.296728,0.075,-1.00E-06,0.074999,0.075,0,0,3.316514015,20081.93151
BTC-ETC > ETH-ETC > BTC_ETH,16:44.3,,,0.00228263,7.00E-07,0.00228333,0.00228263,0,0,0.750091553,172612.3432,0.03116003,-2.00E-07,0.03115983,0.03116003,0,0,1.413243294,7303.385973,0.0731651,-1.00E-06,0.0731641,0.0731651,0,0,6.285061598,9487.236583
BTC-GNO > ETH-GNO > BTC_ETH,39:06.1,,,0.012403,7.00E-07,0.0124037,0.012403,0,0,0.17001043,0.17001063,0,0,6.334058046,201.407442,0.07288115,-1.00E-06,0.07288015,0.07288115,0,0,7.105610132,14265.69071,,,,
BTC-DASH > ETH-DASH > BTC_ETH,25:45.0,,,0.05225,7.00E-07,0.0522507,0.05225,0,0,2.078057528,3950.761932,0.71155331,-2.00E-07,0.71155311,0.71155331,0,0,5.462242126,153.1389345,0.07349502,-1.00E-06,0.07349402,0.07349502,0,0,6.859631062,14894.16276
BTC-DASH > ETH-DASH > BTC_ETH,23:23.3,0.99644316,1.001461561,0.052,7.00E-07,0.0520007,0.0519993,7.00E-07,0.001346154,1.956193447,4469.721545,0.7071205,-2.00E-07,0.7071203,0.70711983,6.70E-07,9.48E-05,3.97465992,153.4775067,0.07383,-1.00E-06,0.073829,0.07382906,9.40E-07,0.001273195,5.93032217,14487.39332
BTC-RLC > ETH-RLC > BTC_ETH,2018-05-22 20:05:57.676,1.00045168,0.9933383590516776,0.00024144,7e-07,0.00024213999999999998,0.00024505,-3.610000000000028e-06,-1.4951954937044516,2.0721442699432373,188234.00803041,0.0029853,-2e-07,0.0029851,0.0029846,7.000000000001796e-07,0.02344822965866679,4.748780250549316,9840.44413723,0.08176504,-1e-06,0.08176404,0.08176408,9.599999999942987e-07,0.001174095921673002,6.385031461715698,6391.28267422
BTC-LRC > ETH-LRC > BTC_ETH,2018-05-23 19:44:33.299,1.0135665,0.9570175438596491,6.328e-05,7e-07,6.398000000000001e-05,6.671e-05,-3.4299999999999993e-06,-5.420353982300884,2.1306216716766357,414723.237479,0.00084001,-2e-07,0.00083981,0.00082764,1.2369999999999937e-05,1.472601516648604,5.122411251068115,11023.07561133,0.0778,-1e-06,0.077799,0.07779946,5.399999999933236e-07,0.0006940874035903903,7.222120046615601,14460.80212878
BTC-ADX > ETH-ADX > BTC_ETH,2018-09-29 11:42:59.368,0.95633898,0.07447968314507847,3.047e-05,7e-07,3.117e-05,0.00085,-0.00081953,-2689.629143419757,1.8344299793243408,115507.79034529,0.00085,-2e-07,0.0008498,0.000845,4.999999999999905e-06,0.5882352941176359,6.040939569473267,7532.37325902,0.03534295,-1e-06,0.03534195,0.03525331,8.9639999999995e-05,0.2536290830278599,9.624890565872192,10905.47942
BTC-ANT > ETH-ANT > BTC_ETH,2018-09-29 11:47:15.496,0.96346496,0.9732303573901138,0.00014012,7e-07,0.00014082,0.00014011,9.999999999994822e-09,0.007136739937192993,2.0584042072296143,48484.47624285,0.00388,-2e-07,0.0038798,0.00387999,1.0000000000374293e-08,0.00025773195877253335,3.990196943283081,5600.76885032,0.03523399,-1e-06,0.03523299,0.03523464,-6.499999999978745e-07,-0.0018448095148970484,6.052425146102905,10916.38242932
BTC-ADA > ETH-ADA > BTC_ETH,2018-09-29 15:15:31.366,0.93416242,0.9905537008261666,1.288e-05,7e-07,1.358e-05,1.287e-05,9.999999999999904e-09,0.07763975155279429,2.1936447620391846,18361907.64641097,0.00036486,-2e-07,0.00036466,0.00036488,-1.9999999999989644e-08,-0.0054815545688728946,4.272528886795044,1702734.3746046,0.03505137,-1e-06,0.03505037,0.03505323,-1.8599999999993622e-06,-0.0053064972924007315,6.224363327026367,11101.15098607
BTC-ADX > ETH-ADX > BTC_ETH,2018-09-29 15:34:24.801,0.95958264,0.981153556208557,3.057e-05,7e-07,3.127e-05,3.056e-05,1.0000000000001598e-08,0.032711808963040885,1.9829165935516357,121172.49756892,0.000864,-2e-07,0.0008638,0.00086399,9.999999999940612e-09,0.001157407407400534,5.026188611984253,7034.32034098,0.035,-1e-06,0.034999,0.0349997,3.000000000016878e-07,0.0008571428571476794,6.96707010269165,11274.30951245
BTC-ADX > ETH-ADX > BTC_ETH,2018-09-29 16:45:39.392,0.95293767,0.97969168282101,3.088e-05,7e-07,3.158e-05,3.087e-05,1.0000000000001598e-08,0.032383419689124344,2.2645952701568604,126201.04050863,0.0008616,-2e-07,0.0008614,0.00086159,1.0000000000049032e-08,0.0011606313834783,3.992518901824951,7055.31707195,0.0352,-1e-06,0.035199,0.03519981,1.900000000040758e-07,0.0005397727272843062,5.980790138244629,12040.76754432
BTC-ADX > ETH-ADX > BTC_ETH,2018-09-29 16:46:14.892,0.95293767,0.9803689287527501,3.088e-05,7e-07,3.158e-05,3.087e-05,1.0000000000001598e-08,0.032383419689124344,6.606258153915405,126222.0372396,0.0008616,-2e-07,0.0008614,0.00086159,1.0000000000049032e-08,0.0011606313834783,14.943223476409912,7076.31380292,0.0352,-1e-06,0.035199,0.03522475,-2.4749999999996997e-05,-0.07031249999999147,19.459994792938232,12043.17170667
BTC-ANT > ETH-ANT > BTC_ETH,2018-09-29 16:52:35.209,0.9735495,0.9835535931322019,0.00013665,7e-07,0.00013734999999999998,0.00013664,9.999999999994822e-09,0.007317965605557865,2.1442575454711914,42244.59258507,0.00383898,-2e-07,0.00383878,0.00383897,9.999999999940612e-09,0.0002604858582212101,3.972571849822998,3829.64542087,0.03509655,-1e-06,0.035095549999999996,0.03509742,-8.700000000000374e-07,-0.0024788761288503784,6.1328349113464355,12065.77142849
